C:\Users\Codeexia\FinalSemester\Thesis\practice\AI_project\pytorchforaudio\10 Predictions with sound classifier\inference.py:28: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load("esc50_urban_model2.pth", map_location="cpu")
Sample 1/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 2/240 - Predicted: 'train', Expected: 'train'
Sample 3/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 4/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 5/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 6/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 7/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 8/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 9/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 10/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 11/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 12/240 - Predicted: 'engine', Expected: 'engine'
Sample 13/240 - Predicted: 'engine', Expected: 'engine'
Sample 14/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 15/240 - Predicted: 'engine', Expected: 'engine'
Sample 16/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 17/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 18/240 - Predicted: 'engine', Expected: 'airplane'
Sample 19/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 20/240 - Predicted: 'car_horn', Expected: 'car_horn'
