2025-01-15 21:10:16,708 INFO    MainThread:20648 [wandb_setup.py:_flush():68] Current SDK version is 0.19.2
2025-01-15 21:10:16,709 INFO    MainThread:20648 [wandb_setup.py:_flush():68] Configure stats pid to 20648
2025-01-15 21:10:16,709 INFO    MainThread:20648 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Codeexia\.config\wandb\settings
2025-01-15 21:10:16,709 INFO    MainThread:20648 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Codeexia\FinalSemester\Thesis\practice\AI_project\pytorchforaudio\sound_classification_CNN\wandb\settings
2025-01-15 21:10:16,709 INFO    MainThread:20648 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-15 21:10:16,709 INFO    MainThread:20648 [wandb_init.py:_log_setup():523] Logging user logs to C:\Users\Codeexia\FinalSemester\Thesis\practice\AI_project\pytorchforaudio\sound_classification_CNN\wandb\run-20250115_211016-ull0t9lj\logs\debug.log
2025-01-15 21:10:16,709 INFO    MainThread:20648 [wandb_init.py:_log_setup():524] Logging internal logs to C:\Users\Codeexia\FinalSemester\Thesis\practice\AI_project\pytorchforaudio\sound_classification_CNN\wandb\run-20250115_211016-ull0t9lj\logs\debug-internal.log
2025-01-15 21:10:16,709 INFO    MainThread:20648 [wandb_init.py:init():641] calling init triggers
2025-01-15 21:10:16,709 INFO    MainThread:20648 [wandb_init.py:init():647] wandb.init called with sweep_config: {}
config: {}
2025-01-15 21:10:16,709 INFO    MainThread:20648 [wandb_init.py:init():674] starting backend
2025-01-15 21:10:16,960 INFO    MainThread:20648 [wandb_init.py:init():678] sending inform_init request
2025-01-15 21:10:16,979 INFO    MainThread:20648 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-01-15 21:10:16,979 INFO    MainThread:20648 [wandb_init.py:init():693] backend started and connected
2025-01-15 21:10:16,980 INFO    MainThread:20648 [wandb_init.py:init():786] updated telemetry
2025-01-15 21:10:16,983 INFO    MainThread:20648 [wandb_init.py:init():818] communicating run to backend with 90.0 second timeout
2025-01-15 21:10:18,424 INFO    MainThread:20648 [wandb_init.py:init():868] starting run threads in backend
2025-01-15 21:10:18,600 INFO    MainThread:20648 [wandb_run.py:_console_start():2415] atexit reg
2025-01-15 21:10:18,600 INFO    MainThread:20648 [wandb_run.py:_redirect():2265] redirect: wrap_raw
2025-01-15 21:10:18,600 INFO    MainThread:20648 [wandb_run.py:_redirect():2330] Wrapping output streams.
2025-01-15 21:10:18,600 INFO    MainThread:20648 [wandb_run.py:_redirect():2355] Redirects installed.
2025-01-15 21:10:18,604 INFO    MainThread:20648 [wandb_init.py:init():910] run started, returning control to user process
2025-01-15 21:10:18,605 INFO    MainThread:20648 [wandb_run.py:_config_callback():1283] config_cb None None {'epochs': 10000, 'batch_size': 32, 'learning_rate': 0.001, 'sample_rate': 16000, 'num_samples': 16000, 'classes': ['airplane', 'helicopter', 'train', 'street_music', 'engine', 'siren', 'car_horn']}
2025-01-15 21:10:24,424 WARNING MsgRouterThr:20648 [router.py:message_loop():75] message_loop has been closed
